epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.6952349204063416,78.01333333333334,0.39241788519620896,88.28,0.0001,115.08385610580444
2,0.40702998269399004,86.07555555555555,0.3515158767104149,88.88,0.0001,107.14371466636658
3,0.32558617156611547,88.85111111111111,0.31340338767170905,90.04,0.0001,108.74800896644592
4,0.26906528974903954,90.46222222222222,0.3184511600136757,90.22,0.0001,109.15879893302917
5,0.23105229326619042,91.90444444444445,0.28763287087678907,91.14,0.0001,109.90217351913452
6,0.16749202193154228,94.25777777777778,0.265312462580204,91.96,1e-05,108.12747287750244
7,0.1527597996658749,94.68444444444444,0.26208218469917777,91.88,1e-05,109.09597253799438
8,0.14809216689533658,94.90444444444445,0.2613113940060139,91.96,1e-05,110.98224806785583
9,0.1395146696805954,95.21111111111111,0.25694195802807807,92.16,1e-05,108.51105499267578
10,0.12987030010223388,95.60444444444444,0.26043935317397116,92.32,1e-05,109.70072913169861
