epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,1.084693942557441,67.7311111111111,0.5740145924568176,82.44,0.001,114.409414768219
2,0.6247367676311069,79.60444444444444,0.48046557760238645,85.64,0.001,107.46528673171997
3,0.5298360879659653,82.22222222222223,0.43562802884578705,85.98,0.001,108.60558748245239
4,0.4856485708501604,83.44222222222223,0.4154747987985611,86.98,0.001,106.12418246269226
5,0.4633306614134047,84.20444444444445,0.4037374222278595,87.26,0.001,106.12529516220093
6,0.41931222517755296,85.53555555555556,0.38870700850486756,87.64,0.0001,107.36274075508118
7,0.41341516380310056,85.80444444444444,0.3873838049054146,87.8,0.0001,107.1080310344696
8,0.42009598500463696,85.4888888888889,0.3859550662875175,87.68,0.0001,106.84032034873962
9,0.4122968945476744,85.83333333333333,0.381051423740387,87.96,0.0001,107.6663146018982
10,0.4055971145921283,85.93777777777778,0.3807677251935005,87.86,0.0001,107.88127326965332
