epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.6273527431885402,78.01333333333334,0.38497067146301267,86.8,0.0001,173.4764518737793
2,0.3513004381047355,87.9888888888889,0.315441553401947,88.7,0.0001,173.7192268371582
3,0.2736587486929364,90.6288888888889,0.276829218173027,90.5,0.0001,175.2504596710205
4,0.22207079799440171,92.38,0.24597627124786378,91.54,0.0001,176.56923007965088
5,0.18328991952737173,93.61111111111111,0.22295220094919205,92.04,0.0001,176.64488172531128
6,0.10424692951838176,96.43111111111111,0.19846567799076437,93.64,1e-05,176.608060836792
7,0.08910265328884125,97.02666666666667,0.19455550898239016,93.68,1e-05,176.1260838508606
8,0.08126975081761678,97.25111111111111,0.1977451737612486,93.64,1e-05,176.89203476905823
9,0.07355135801898109,97.51555555555555,0.19879364400692284,93.86,1e-05,174.09132266044617
10,0.06805725146399604,97.63111111111111,0.20145318671166898,93.82,1e-05,178.0860583782196
