epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.483645840660731,84.47111111111111,0.2593401848554611,91.06,0.0001,146.15999054908752
2,0.2755778384817971,90.63333333333334,0.216153129696846,92.58,0.0001,144.88664436340332
3,0.211161184530788,92.87333333333333,0.19409067938923835,93.46,0.0001,145.02577829360962
4,0.1694707710425059,94.21777777777778,0.18332470278143884,93.64,0.0001,147.85886907577515
5,0.14279619424872927,95.16666666666667,0.1722698827624321,94.22,0.0001,148.42376565933228
6,0.09887974095079634,96.81777777777778,0.1661832013964653,94.38,1e-05,146.8312520980835
7,0.08630633183055454,97.31777777777778,0.1610356710255146,94.38,1e-05,147.48183035850525
8,0.08203827050262028,97.46666666666667,0.16434212271869184,94.4,1e-05,146.19014477729797
9,0.07533792719841004,97.63555555555556,0.163074367877841,94.28,1e-05,146.47891998291016
10,0.07077521557543012,97.83777777777777,0.1631451484441757,94.4,1e-05,146.06026220321655
