epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.6551908221668667,79.15333333333334,0.4081811858654022,86.2,0.001,132.39666271209717
2,0.47012769349945915,83.93111111111111,0.38102953293323516,87.66,0.001,129.4599871635437
3,0.44131602603064646,84.79777777777778,0.36946359391212463,88.16,0.001,129.4439082145691
4,0.4221951400121053,85.49333333333334,0.3850142506599426,88.02,0.001,130.02862000465393
5,0.4163310781372918,85.66444444444444,0.3721553596973419,87.96,0.001,129.29054284095764
6,0.3867084044297536,86.66222222222223,0.36857903485298155,88.48,0.0001,126.93608903884888
7,0.3826687272177802,86.79555555555555,0.3668100151538849,88.62,0.0001,128.92175316810608
8,0.38465441085232627,86.83333333333333,0.3681703694820404,88.44,0.0001,132.4357991218567
9,0.381637158536911,87.00444444444445,0.3722246265888214,88.38,0.0001,130.8327841758728
10,0.38231774139934116,86.92666666666666,0.3669393575429916,88.48,0.0001,129.62261843681335
