epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.4245078812122345,85.93777777777778,0.22563163026571273,92.32,0.0001,104.7249071598053
2,0.23950994918611315,91.81777777777778,0.20532559462189676,92.78,0.0001,104.40152645111084
3,0.17388538362979888,94.08666666666667,0.1879313343167305,93.68,0.0001,107.27271890640259
4,0.13425178827179804,95.3711111111111,0.1820499017804861,93.94,0.0001,110.03505182266235
5,0.10750532670550876,96.2688888888889,0.19375224336981772,93.74,0.0001,108.60841345787048
6,0.060772075133853486,98.06444444444445,0.15724476116150618,94.84,1e-05,108.8535885810852
7,0.04788843136893378,98.45111111111112,0.15466130651682616,94.86,1e-05,109.8876941204071
8,0.041695872614118785,98.80888888888889,0.15438856429159642,94.94,1e-05,110.67773866653442
9,0.035527739429473876,98.96666666666667,0.15109237774014472,95.22,1e-05,110.83498692512512
10,0.03119955548445384,99.09555555555555,0.15828048623800278,95.1,1e-05,112.22406339645386
