epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,0.7459075185139974,75.38,0.5055884551525116,83.04,0.001,105.72498154640198
2,0.5550754041777717,81.08222222222223,0.45989754494428636,84.92,0.001,105.99098539352417
3,0.5323447146203782,81.53333333333333,0.42143712265491484,85.94,0.001,106.45526647567749
4,0.5141267281214397,82.11333333333333,0.42010838985443116,85.86,0.001,106.44446039199829
5,0.5060259225739373,82.48666666666666,0.4133802229166031,86.46,0.001,106.9672622680664
6,0.47319806022644045,83.75555555555556,0.4111849440097809,86.24,0.0001,106.05705642700195
7,0.47420558291541204,83.88,0.4134857070684433,86.08,0.0001,104.83904910087585
8,0.4740811696423425,83.72,0.40896203274726867,86.18,0.0001,102.5166072845459
9,0.4701080597612593,83.79333333333334,0.4120489201068878,85.96,0.0001,103.02082538604736
10,0.46918262074258593,83.88888888888889,0.4078171132326126,86.32,0.0001,104.18071937561035
